"name","Fluorophore","Antigen","Type","Detector","Negative","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"PBMC_Unstained","PBMC_Unstained","","Cells","","PBMC_Unstained",0.046,0.087,0.075,0.095,0.146,0.251,0.537,0.405,0.372,0.151,0.092,0.056,0.044,0.054,0.041,0.035,0.076,0.258,0.434,0.505,0.768,0.73,1,0.746,0.527,0.609,0.35,0.204,0.195,0.18,0.164,0.097,0.248,0.302,0.418,0.284,0.248,0.201,0.148,0.11,0.118,0.075,0.058,0.054,0.045,0.058,0.128,0.128,0.158,0.145,0.112,0.101,0.121,0.056,0.05,0.031,0.039,0.049,0.051,0.054,0.031,0.028,0.028,0.017
"PBMC_Monocyte_Unstained","PBMC_Monocyte_Unstained","","Cells","","PBMC_Monocyte_Unstained",0.064,0.132,0.111,0.131,0.181,0.301,0.578,0.418,0.381,0.15,0.089,0.052,0.042,0.049,0.036,0.029,0.089,0.3,0.485,0.532,0.769,0.728,1,0.757,0.536,0.609,0.341,0.191,0.176,0.155,0.136,0.076,0.253,0.305,0.425,0.302,0.262,0.218,0.163,0.118,0.123,0.076,0.057,0.05,0.04,0.048,0.146,0.141,0.18,0.162,0.12,0.106,0.126,0.056,0.047,0.028,0.038,0.045,0.047,0.045,0.031,0.024,0.025,0.015
"PBMC_Activated_Unstained","PBMC_Activated_Unstained","","Cells","","PBMC_Activated_Unstained",0.048,0.09,0.077,0.098,0.146,0.248,0.522,0.395,0.364,0.152,0.093,0.058,0.047,0.056,0.043,0.037,0.076,0.257,0.427,0.5,0.761,0.725,1,0.75,0.53,0.606,0.344,0.199,0.189,0.172,0.155,0.09,0.247,0.306,0.427,0.29,0.254,0.205,0.153,0.114,0.121,0.078,0.06,0.056,0.046,0.058,0.125,0.122,0.141,0.133,0.104,0.096,0.118,0.057,0.052,0.032,0.039,0.05,0.053,0.055,0.035,0.03,0.031,0.019
"PBMC_Dead_Unstained","PBMC_Dead_Unstained","","Cells","","PBMC_Dead_Unstained",0.037,0.069,0.064,0.081,0.12,0.2,0.431,0.34,0.329,0.151,0.103,0.066,0.055,0.066,0.051,0.042,0.072,0.235,0.385,0.454,0.715,0.702,1,0.8,0.579,0.675,0.4,0.232,0.219,0.198,0.175,0.1,0.302,0.371,0.514,0.352,0.309,0.255,0.198,0.148,0.157,0.1,0.077,0.071,0.058,0.07,0.138,0.144,0.153,0.157,0.126,0.118,0.148,0.072,0.065,0.04,0.05,0.065,0.067,0.069,0.047,0.039,0.039,0.023
"CBMC_Unstained","CBMC_Unstained","","Cells","","CBMC_Unstained",0.056,0.106,0.089,0.107,0.151,0.241,0.453,0.329,0.307,0.12,0.081,0.049,0.038,0.047,0.035,0.03,0.094,0.304,0.482,0.535,0.771,0.73,1,0.743,0.52,0.588,0.319,0.177,0.159,0.141,0.122,0.067,0.251,0.317,0.457,0.325,0.284,0.23,0.169,0.122,0.129,0.079,0.058,0.054,0.041,0.048,0.163,0.153,0.181,0.165,0.122,0.113,0.134,0.06,0.054,0.031,0.046,0.055,0.057,0.058,0.035,0.03,0.029,0.018
"CBMC_Dead_Unstained","CBMC_Dead_Unstained","","Cells","","CBMC_Dead_Unstained",0.056,0.104,0.084,0.102,0.142,0.219,0.424,0.321,0.307,0.129,0.098,0.063,0.048,0.06,0.043,0.038,0.086,0.276,0.436,0.491,0.732,0.714,1,0.786,0.56,0.641,0.363,0.207,0.186,0.166,0.143,0.078,0.302,0.377,0.54,0.382,0.336,0.276,0.207,0.152,0.163,0.099,0.073,0.068,0.051,0.06,0.175,0.166,0.174,0.173,0.133,0.128,0.155,0.072,0.066,0.038,0.059,0.073,0.076,0.079,0.047,0.04,0.037,0.024
"DTR_2023_ILT_01-Reference Group-DR_CCR4 BUV615 (Cells).1235678.fcs","BUV615","CCR4","Cells","UV10","PBMC_Unstained",0.01,0.044,0.039,0.038,0.041,0.057,0.08,0.052,0.268,1,0.406,0.223,0.128,0.12,0.076,0.041,0.019,0.067,0.123,0.13,0.164,0.144,0.186,0.153,0.196,0.38,0.158,0.086,0.062,0.046,0.04,0.017,0.022,0.031,0.05,0.047,0.071,0.101,0.056,0.044,0.04,0.021,0.015,0.014,0.012,0.011,0.102,0.432,0.894,0.43,0.326,0.253,0.223,0.085,0.059,0.026,0.011,0.012,0.009,0.005,0.01,0.004,0.005,0.002
"DTR_2023_ILT_01-Reference Group-DR_CCR6 BV786 (Cells).1235679.fcs","BV786","CCR6","Cells","V15","PBMC_Unstained",0.002,0.002,0.005,0.003,0.004,0.004,0.003,0.002,0.003,0.003,0.002,0.001,0.003,0.044,0.154,0.127,0.064,0.074,0.078,0.048,0.043,0.036,0.045,0.032,0.023,0.028,0.016,0.009,0.023,0.247,1,0.555,0.004,0.008,0.014,0.014,0.014,0.013,0.01,0.008,0.008,0.005,0.005,0.011,0.02,0.023,0.007,0.013,0.021,0.016,0.011,0.01,0.011,0.01,0.027,0.022,0.002,0.003,0.003,0.003,0.008,0.03,0.079,0.044
"DTR_2023_ILT_01-Reference Group-DR_CCR7 BV650 (Cells).1235680.fcs","BV650","CCR7","Cells","V11","PBMC_Unstained",0,0.001,0.004,0.003,0.004,0.004,0.005,0.006,0.009,0.039,0.166,0.081,0.058,0.048,0.029,0.019,0.065,0.074,0.075,0.041,0.03,0.027,0.039,0.037,0.053,0.326,1,0.445,0.323,0.201,0.131,0.054,0.008,0.015,0.026,0.02,0.017,0.017,0.025,0.018,0.017,0.01,0.007,0.006,0.005,0.005,0.008,0.013,0.04,0.209,0.136,0.105,0.116,0.043,0.029,0.015,0.117,0.114,0.097,0.066,0.044,0.027,0.024,0.012
"DTR_2023_ILT_01-Reference Group-DR_CD107a APC-R700 (Cells).1235681.fcs","APC-R700","CD107a","Cells","R4","PBMC_Activated_Unstained",0.001,0.002,0.002,0.002,0.003,0.006,0.012,0.008,0.008,0.003,0.009,0.02,0.045,0.038,0.023,0.015,0.001,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.003,0.003,0.021,0.051,0.126,0.075,0.048,0.02,0.005,0.005,0.007,0.004,0.003,0.003,0.007,0.009,0.027,0.035,0.023,0.014,0.01,0.01,0.001,0,0,0.036,0.053,0.161,0.491,0.169,0.106,0.054,0.077,0.172,0.652,1,0.716,0.377,0.346,0.156
