"name","Fluorophore","Antigen","Type"
"DTR_2023_ILT_01-Reference Group-DR_CCR4 BUV615 (Cells).1235678.fcs","BUV615","CCR4","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CCR6 BV786 (Cells).1235679.fcs","BV786","CCR6","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CCR7 BV650 (Cells).1235680.fcs","BV650","CCR7","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD107a APC-R700 (Cells).1235681.fcs","APC-R700","CD107a","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD127 BV421 (Cells).1235682.fcs","BV421","CD127","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD16 APC (Cells).1235683.fcs","APC","CD16","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD161 BV480 (Cells).1235684.fcs","BV480","CD161","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD25 PE-Cy5 (Cells).1235685.fcs","PE-Cy5","CD25","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD26 PerCP-Cy5.5 (Cells).1235686.fcs","PerCP-Cy5.5","CD26","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD27 APC-Fire 750 (Cells).1235687.fcs","APC-Fire 750","CD27","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD3 Alexa Fluor 488 (Cells).1235688.fcs","Alexa Fluor 488","CD3","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD3 Alexa Fluor 647 (Cells).1235689.fcs","Alexa Fluor 647","CD3","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD3 FITC (Cells).1235690.fcs","FITC","CD3","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD3 Spark Blue 550 (Cells).1235691.fcs","Spark Blue 550","CD3","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD38 APC-Fire 810 (Cells).1235692.fcs","APC-Fire 810","CD38","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD4 BUV805 (Cells).1235693.fcs","BUV805","CD4","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD45RA BV510 (Cells).1235694.fcs","BV510","CD45RA","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD56 BV605 (Cells).1235695.fcs","BV605","CD56","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD62L BUV395 (Cells).1235696.fcs","BUV395","CD62L","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD69 BUV563 (Cells).1235697.fcs","BUV563","CD69","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD7 BV711 (Cells).1235698.fcs","BV711","CD7","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CD8 BUV496 (Cells).1235699.fcs","BUV496","CD8","Cells"
"DTR_2023_ILT_01-Reference Group-DR_CXCR3 BUV737 (Cells).1235700.fcs","BUV737","CXCR3","Cells"
"DTR_2023_ILT_01-Reference Group-DR_Dump_CD14 Pacific Blue (Cells).1235701.fcs","Pacific Blue","Dump_CD14","Cells"
"DTR_2023_ILT_01-Reference Group-DR_Dump_CD19 Pacific Blue (Cells).1235702.fcs","Pacific Blue","Dump_CD19","Cells"
"DTR_2023_ILT_01-Reference Group-DR_IFNg BV750 (Cells).1235703.fcs","BV750","IFNg","Cells"
"DTR_2023_ILT_01-Reference Group-DR_NKG2D PE (Cells).1235704.fcs","PE","NKG2D","Cells"
"DTR_2023_ILT_01-Reference Group-DR_PD1 PE-Vio770 (Cells).1235705.fcs","PE-Vio770","PD1","Cells"
"DTR_2023_ILT_01-Reference Group-DR_TNFa PE-Dazzle594 (Cells).1235706.fcs","PE-Dazzle594","TNFa","Cells"
"DTR_2023_ILT_01-Reference Group-DR_VD2 BUV661 (Cells).1235707.fcs","BUV661","VD2","Cells"
"DTR_2023_ILT_01-Reference Group-DR_Viability Zombie NIR (Cells).1235708.fcs","Zombie NIR","Viability","Cells"
"DTR_2023_ILT_01-Reference Group-DR_Viability_PMA Zombie NIR (Cells).1235709.fcs","Zombie NIR","Viability_PMA","Cells"
