"name","Fluorophore","Antigen","Type","Detector","Negative","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"DTR_2023_ILT_00-Reference Group-DR_CCR4 BUV615 (Beads).1237096.fcs","BUV615","CCR4","Beads","UV10","BeadUnstained",0.007,0.031,0.025,0.021,0.021,0.023,0.016,0.007,0.207,1,0.397,0.211,0.121,0.107,0.066,0.035,0,0.001,0.001,0.001,0.002,0.002,0.003,0.018,0.103,0.281,0.094,0.049,0.028,0.019,0.013,0.005,0,0,0.001,0.005,0.032,0.069,0.031,0.024,0.021,0.009,0.006,0.005,0.003,0.002,0.089,0.471,0.999,0.449,0.339,0.254,0.222,0.085,0.057,0.025,0.007,0.008,0.007,0.004,0.003,0.002,0.001,0.001
"DTR_2023_ILT_00-Reference Group-DR_CCR6 BV786 (Beads).1237097.fcs","BV786","CCR6","Beads","V15","BeadUnstained",0,0,0.002,0.001,0.002,0.002,0.001,0.001,0.001,0,0,0,0.002,0.042,0.155,0.126,0.053,0.054,0.051,0.022,0.01,0.006,0.006,0.003,0.002,0.003,0.003,0.002,0.016,0.238,1,0.551,0,0,0,0,0,0,0,0,0,0,0.002,0.009,0.02,0.023,0,0,0,0,0,0,0.001,0.006,0.025,0.021,0,0,0,0.001,0.007,0.033,0.09,0.05
"DTR_2023_ILT_00-Reference Group-DR_CCR7 BV650 (Beads).1237098.fcs","BV650","CCR7","Beads","V11","BeadUnstained",0,0,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.032,0.169,0.078,0.056,0.045,0.026,0.015,0.064,0.067,0.062,0.026,0.011,0.007,0.006,0.005,0.024,0.3,1,0.444,0.32,0.194,0.122,0.047,0,0,0,0,0.001,0.003,0.012,0.008,0.007,0.004,0.002,0.002,0.001,0.001,0.001,0.003,0.026,0.209,0.133,0.101,0.11,0.039,0.025,0.012,0.124,0.122,0.103,0.068,0.046,0.026,0.023,0.01
"DTR_2023_ILT_00-Reference Group-DR_CD107a APC-R700 (Beads).1237099.fcs","APC-R700","CD107a","Beads","R4","BeadUnstained",0,0,0,0,0,0,0,0,0,0,0.002,0.016,0.042,0.034,0.02,0.012,0,0,0,0,0,0,0.001,0,0,0,0.006,0.041,0.112,0.064,0.042,0.017,0,0,0,0,0,0,0.001,0.003,0.018,0.025,0.015,0.009,0.006,0.006,0,0,0,0.013,0.036,0.158,0.5,0.168,0.108,0.055,0.028,0.121,0.64,1,0.7,0.374,0.349,0.155
"DTR_2023_ILT_00-Reference Group-DR_CD127 BV421 (Beads).1237100.fcs","BV421","CD127","Beads","V1","BeadUnstained",0,0,0.123,0.071,0.096,0.08,0.054,0.019,0.007,0.001,0,0,0,0,0,0,1,0.953,0.937,0.381,0.16,0.096,0.069,0.022,0.01,0.008,0.002,0.001,0.001,0.001,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD16 APC (Beads).1237101.fcs","APC","CD16","Beads","R1","BeadUnstained",0,0,0,0,0,0,0.001,0,0,0.001,0.078,0.025,0.021,0.025,0.011,0.008,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.234,0.075,0.062,0.055,0.026,0.012,0,0.001,0.001,0,0,0.001,0.029,0.019,0.01,0.007,0.006,0.004,0.002,0.002,0,0,0.006,0.605,0.384,0.18,0.24,0.125,0.06,0.034,1,0.896,0.468,0.381,0.388,0.207,0.148,0.08
"DTR_2023_ILT_00-Reference Group-DR_CD161 BV480 (Beads).1237102.fcs","BV480","CD161","Beads","V5","BeadUnstained",0,0,0,0.001,0.014,0.136,0.27,0.136,0.072,0.02,0.005,0.002,0.001,0.001,0.001,0,0.001,0.019,0.252,0.951,1,0.798,0.736,0.323,0.174,0.149,0.041,0.016,0.01,0.007,0.004,0.002,0.067,0.047,0.034,0.011,0.007,0.004,0.002,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DTR_2023_ILT_00-Reference Group-DR_CD25 PE-Cy5 (Beads).1237103.fcs","PE-Cy5","CD25","Beads","YG5","BeadUnstained",0,0,0,0,0,0,0,0,0.001,0,0.029,0.02,0.013,0.013,0.007,0.004,0,0,0,0,0,0,0.001,0.003,0.001,0.002,0.105,0.071,0.044,0.035,0.019,0.008,0.001,0.001,0.002,0.015,0.007,0.006,0.502,0.625,0.458,0.226,0.171,0.128,0.069,0.066,0.027,0.012,0.009,0.829,1,0.625,0.589,0.278,0.152,0.074,0.155,0.27,0.184,0.113,0.098,0.059,0.045,0.02
"DTR_2023_ILT_00-Reference Group-DR_CD26 PerCP-Cy5.5 (Beads).1237104.fcs","PerCP-Cy5.5","CD26","Beads","B9","BeadUnstained",0,0,0,0,0.001,0,0.002,0.001,0.001,0,0.059,0.168,0.148,0.136,0.098,0.056,0,0.001,0.002,0.002,0.003,0.003,0.004,0.004,0.003,0.003,0.14,0.551,0.6,0.38,0.321,0.124,0.001,0.001,0.002,0.002,0.002,0.002,0.069,0.542,1,0.722,0.409,0.349,0.271,0.248,0.001,0.001,0.001,0.054,0.408,0.543,0.751,0.279,0.228,0.109,0.02,0.243,0.696,0.622,0.361,0.254,0.295,0.123
"DTR_2023_ILT_00-Reference Group-DR_CD27 APC-Fire 750 (Beads).1237105.fcs","APC-Fire 750","CD27","Beads","R7","BeadUnstained",0,0,0,0,0,0,0,0,0,0,0.001,0,0.001,0.011,0.057,0.053,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.002,0.024,0.142,0.087,0,0,0,0,0,0,0.001,0,0,0,0.001,0.005,0.014,0.017,0,0,0.001,0.007,0.004,0.003,0.005,0.043,0.232,0.185,0.015,0.013,0.008,0.01,0.043,0.291,1,0.604
