"","UV1-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","V1-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","B1-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","B10-A","B11-A","B12-A","B13-A","B14-A","YG1-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","YG10-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A"
"AF1",0.0635589294916371,0.0771280169033705,0.145919929303722,0.206162780641424,0.279620203255201,0.485673555506629,0.796182108116601,0.531773351189682,0.512882971368091,0.183022536093604,0.12880126192371,0.073184630261628,0.0594792752956018,0.0727816796987039,0.069124250888676,0.0680457643221314,0.112453242808074,0.196875874278106,0.239357626857598,0.200229447382648,0.339427461630379,0.332193464867891,0.460920778609424,0.416997538358324,0.331883736754663,0.426237379614926,0.239480303919688,0.175978018399591,0.158758150050281,0.113391729932533,0.127406081118183,0.0687347232992736,0.17901217965082,0.177833159824166,0.228515371804126,0.156213664641152,0.187475083378235,0.157558660197162,0.121739197485723,0.111016801402577,0.129480227647953,0.08767365000024,0.0624820337642588,0.063379442971352,0.0559863622814475,0.0759484590821991,0.117904023675716,0.0911310301645363,0.0790567681834371,0.150110985200402,0.0970707847368054,0.0976243331354393,0.144574965378142,0.0724072811876338,0.0780136487469085,0.0535314601356296,0.0430602888209942,0.0454495275194461,0.0473794809579702,0.0486347655920726,0.0389802177157231,0.0438849032749646,0.0573113132200359,0.0351956805887179
"AF2",0.0102251379629901,0.00859364817153309,0.0184808529464711,0.0245994001204442,0.0309969172126022,0.0656219429172895,0.182023294599664,0.174681760896894,0.252530860424162,0.15285162282574,0.133574507244939,0.100504631372448,0.108250202299515,0.153843008549801,0.147410033666677,0.151190151046966,0.0350847611282015,0.112575403954077,0.191859888629637,0.230933911788649,0.454013820837687,0.496179830969917,0.792034647434087,0.871308796798475,0.729053422084517,1,0.712385685739297,0.536425297370158,0.621417123853706,0.660446870446175,0.673396955092101,0.457159282562964,0.169939736111812,0.233000754813548,0.402414787146224,0.43108690874731,0.461217814101382,0.469482489841376,0.488609916952589,0.417291682536695,0.494426941010159,0.360916007415192,0.275414659165262,0.300710144870675,0.280920418781816,0.414303128663753,0.15383842766522,0.208564734512403,0.270052960012069,0.438857973429602,0.39336822572541,0.418677223906735,0.639413755492615,0.408413731608479,0.410982144890556,0.345394290292964,0.0648085539246831,0.121561852134308,0.181539432879462,0.195666026277102,0.215612424631843,0.205040095494995,0.285833650676712,0.206240536219013
"AF3",0.0330061520635709,0.0128295064578612,0.0343536529347949,0.0487791850357702,0.0643881904234708,0.127491650945583,0.280848499743028,0.257279007473889,0.319401117675821,0.17530178765971,0.143997163630343,0.110239487829278,0.119087847167349,0.159613530743447,0.140530291900828,0.15311597564727,0.0692735715006882,0.146046069799862,0.240416354723214,0.273020952764768,0.510515992365146,0.553228501409355,0.86429527214497,0.901987158029473,0.730382562891416,1,0.666633794169343,0.49670540745298,0.570331754520111,0.569548209249328,0.599572082283486,0.388427230593791,0.204627867292614,0.261344957984918,0.413926357330877,0.433716415770987,0.466553314522546,0.443601965138682,0.458437122414491,0.376927497208998,0.435515502714127,0.33442954225094,0.242497789213263,0.25543779582969,0.258090491301085,0.322054256426064,0.154665645669699,0.199744748259672,0.257497357362998,0.412754688979301,0.352199489951348,0.36225068094687,0.556386419274261,0.362192792323016,0.349972990142488,0.281624454936523,0.0574198244384244,0.109041859559783,0.14242556649955,0.170980383944173,0.179105361794745,0.160615176027369,0.240023599135443,0.164550798588901
"AF4",0.0438894708285102,0.0168643067545154,0.0393522667948437,0.0654820940977088,0.149402648635617,0.182354202947576,0.426452323583032,0.316598751372299,0.468305641664795,0.212351155734979,0.18763714882301,0.107704284176589,0.144445096311687,0.21658348722705,0.176095013897342,0.155466966341037,0.172691374158365,0.213358827732465,0.38842487381595,0.352017347555886,0.673317172551951,0.657482414999064,0.95671375792528,1,0.719040911591271,0.95794388068749,0.660604283217915,0.473927033993354,0.423567711026454,0.443829220418872,0.36592756906913,0.3387479576779,0.363278074212603,0.395974582209645,0.519654880973617,0.420569751913981,0.450281821060459,0.480243475290962,0.443635113122244,0.40136295536796,0.429469013276944,0.338507394953974,0.156053132866079,0.187812664879602,0.214869192016153,0.277657441193494,0.197412027499622,0.201382537466685,0.230663045341457,0.419177972193422,0.34759318135492,0.326767794592084,0.522382573102915,0.297712863296327,0.307134328916445,0.212515174573611,0.086204611100927,0.0874379194940973,0.149744899197612,0.176536874564009,0.107192574874268,0.114581771611301,0.179127549108745,0.0877636558400511
"AF5",0.0498591893643482,0.10246585894634,0.0286930782127155,0.0662639250755223,0.104521732341403,0.167033083505572,0.474690270610899,0.432188736663705,0.364887758208509,0.111817867257764,0.0778864121538195,0.0341467715374611,0.0592891717017035,0.0590821981282684,0.0546592225241094,0.0600706781370512,0.0495510450830677,0.223496667297068,0.265596430695717,0.237108309439319,0.693428632817651,0.648918609531695,1,0.790058577180802,0.490671258825456,0.532381533092663,0.232203376790375,0.172561763588234,0.0956714665834329,0.108105592209768,0.162444944896927,0.0515483572148019,0.593523924092889,0.654552373932132,0.721296201931398,0.411407935059708,0.36650878215596,0.270808457156088,0.200121929584501,0.134067254900641,0.112132254715269,0.0832973874503535,0.0992346683480348,0.0420265391961527,0.00537314933167785,0.0863906534213737,0.113301220969536,0.0700659626356978,0.0443137451677688,0.061854285122428,0.069603616278112,0.0895074479896457,0.15270475370717,0.0164078387481876,0.109445960901054,0.0368023325771808,0.027775110867709,0.0365461347736248,-0.00437381101419301,0.0726240101792663,-0.0193894311968853,0.0496906709824404,0.0567130313862212,0.0119852028297915
"AF6",0.110977428428006,-0.0146801340478787,0.040390720923768,0.0570439228673482,0.129916670939326,0.125259578434989,0.47268372669685,0.369550057645099,0.139371755339905,0.184018561425135,0.146659258170732,0.0380876310944434,0.0164299962714449,0.0211984483959537,-0.00922401318365058,0.0161025630724554,0.0550142642698717,0.201925182406078,0.239372046392418,0.278351254872074,0.621214452972629,0.641276836959416,1,0.775693401520964,0.540828507310071,0.610106393332193,0.252803472036582,0.159014431344426,0.185397501894839,0.0482571218522212,0.125080346469195,0.0670719154642331,0.550697750492527,0.510521050383052,0.66765323364489,0.406618360458556,0.316265216035596,0.214441750333088,0.135178093785768,0.160707127613118,0.129211356438589,0.0988885755655846,-0.0257917383024153,0.0733542846864531,0.0253712949372875,0.0738431523112168,0.12892834807014,0.117910115625221,0.088155529060329,0.106484196672256,0.0901131463625102,0.0540792447645629,0.0201000544416647,0.0912131333565553,0.0668504621872371,0.0252547267451257,0.0311677535485602,0.020511683771807,0.00899488050478956,0.00663193620441386,0.0611304388276402,0.00227615196613589,0.00584908082852732,0.0121655324771425
"AF7",0.0579723505123802,-0.105874767284967,0.13150036537847,-0.0052362457916608,0.167388629651087,0.218047362660305,0.476548520044153,0.553450065476085,0.272564948938998,0.17003691663271,0.057003836762894,0.0313278804852504,0.0386170118840456,0.167479521625347,0.0525247967992784,-0.0840679323857103,0.231135388257211,0.371436633821778,0.434591225194351,0.278529852254946,0.852773876350848,0.784346415292592,1,0.722796374518002,0.572920331550504,0.511652439040015,0.212066510123484,0.11356561460908,0.208087543964906,0.0549576879828151,0.137479020173867,0.0758645351429223,0.667361713948851,0.572067043290686,0.908290913361382,0.433037213854777,0.471441125331535,0.189556893520294,0.235990985543189,0.156239036617107,0.1980932907727,-0.000133782476128151,-0.136951627127556,0.159417107811027,0.123905183866085,0.176166310600536,0.237420001454834,0.210716337818002,0.091654462766763,0.265316910801183,0.123730794913006,-0.0483283469018465,0.26994644816809,-0.0335632939875269,0.144817871094779,0.107011368112326,0.10574813901258,0.113274735904761,0.0449694746576311,-0.046594676077893,-0.0620544279619952,0.0191008368651912,0.0507436217352632,0.0561366791314042
"AF8",0.371728728579474,0.191131273563266,0.187316029582092,0.574656078183614,0.265063049701724,0.448816735946449,0.777033300373787,0.843527571149663,0.659440813502593,0.325711015513657,0.452123966770801,0.125377912133624,0.211734993519595,0.284331476128016,0.163886758801666,0.291168189695833,0.192749982659034,0.456633816743078,0.669010488466666,0.680585754264881,0.733695294406558,0.711188764309916,1,0.876849025915194,0.477856886110179,0.577065693659159,0.217948073624985,0.14762359530529,0.385186823811449,-0.00910551489266569,0.170207625879509,0.0451886685757747,-0.0761891688548479,0.179056582176267,0.052888746594527,-0.00942936659851342,0.33296551564145,0.326190625953651,0.279374600358516,0.145048846784614,0.297342175413414,0.303617826323136,0.0839255731314608,-0.0975767019859967,0.147133551884696,0.281652964707323,0.645896389177602,-0.0264322088408749,0.123116688324475,0.355095748189186,0.0303894617947417,0.456672977469954,0.28949840962415,0.160153425123215,0.400800380519504,0.143443335850734,0.0379525272322507,0.232372790917843,0.107679538093536,-0.115228753760763,0.26592690629851,0.196959297282482,0.365313759883785,0.342160104190817
"AF9",0.0335004152515001,0.249040809851463,0.102059855519408,0.103527614195147,0.0955489310854522,0.252774534460501,0.275581488495145,0.23954647905558,0.10551796957321,0.218682524230212,0.445450437266774,0.224679879549385,0.105638195581582,0.00714078439452084,-0.00915650378512835,0.174244518369461,0.809472629981569,0.976724174877238,0.312267956586587,0.0965981640416296,0.0260465486627058,0.129481290937551,0.0245719658821185,0.611593071331869,0.589038229764649,1,0.720574948435472,0.626451281059413,0.556458303863935,0.49505123333523,0.131570535562521,0.0680103486474231,0.29756111373242,0.0222985697543163,0.183096819454359,0.339768610461817,0.359851730473273,0.386774817534987,0.439552994072787,0.184999107488698,0.356111367718719,0.246138416615133,0.249497895075583,0.36669394180048,0.268321689130546,0.177459383646042,0.456961245910979,0.37593053983815,0.322497187837918,0.329689669490112,0.141624199023323,0.364678979049195,0.0843375359755827,0.00634376765528718,0.219679291718794,0.106300508231788,0.179628026692449,0.109530250272932,0.116055526942482,0.0703305486203574,0.0140399704550492,-0.0961621224742626,0.136868470230498,0.12585484954486
"AF10",0.0552152017496848,0.0190320498297122,0.019421464676455,0.0679935129356942,0.116994085291819,0.18086344003112,0.247821451198305,0.185401691536749,0.239632468616977,0.181488142207277,0.188230029461912,0.197412703744198,0.107824059924059,0.108097791956486,0.0710714020358481,0.0880288241175626,0.173218110928981,0.210500319106984,0.149649351944386,0.0242962070354666,0.0835043819925248,0.113992267296981,0.145120912384533,0.209495471413167,0.282961911609198,1,0.657841167324416,0.849195517120478,0.552938296318445,0.139884918916172,0.196153435956694,0.090297664491273,0.124079798310361,0.101914731081826,0.133515926503455,0.052827728299069,0.113756972945773,0.170944469188118,0.109271522867708,0.140698839806813,0.278001114703395,0.148610696621886,0.0584576459413894,0.0547168002448816,0.0452721693121303,0.0477027958331306,0.132519582812866,0.132905076051719,0.112205124727012,0.176455216543867,0.10318831623123,0.146872822360737,0.18558611163549,0.0537712831697525,0.0571345855529346,0.0569710072249654,0.0385958799953882,0.055329933973316,0.0839921770719426,0.105759365524612,0.0630670827996708,-0.00412172390153002,0.0351837429036254,0.0195258460034551
