"","Spark Blue 550","BV605","Alexa Fluor 700","BV510","7-AAD"
"UV1-A","104.74154"," 79.07824","107.72574","121.22008"," 75.56364"
"UV2-A","188.68995","158.78110","219.83228","231.06911"," 73.38842"
"UV3-A","420.2939","496.5042","498.7449","546.3041"," 87.1750"
"UV4-A","594.9452","651.8056","701.1989","832.8344"," 86.8321"
"UV5-A"," 864.0328"," 871.7632","1017.6757","1744.4631"," 131.5948"
"UV6-A","1495.2246","1413.0586","1794.0203","5374.4111"," 224.5899"
"UV7-A"," 2580.6736"," 2221.1409"," 2884.1611","25075.5771","  322.6273"
"UV8-A"," 2742.1285"," 1417.7964"," 1783.2721","21001.8184","  235.3316"
"UV9-A"," 2186.741"," 7160.168"," 1394.581","17206.926","  536.639"
"UV10-A","  688.7473","13850.0234","  432.0355"," 6222.8848"," 1366.8877"
"UV11-A"," 312.4049","6889.8103"," 269.5648","2291.9504","3236.7268"
"UV12-A"," 191.5149","2858.5405"," 965.4911","1099.8838","2164.1993"
"UV13-A"," 140.9085","2163.7251","4073.7609"," 762.3667","1850.2953"
"UV14-A"," 153.3083","1983.9139","4180.7432"," 746.6266","1949.2087"
"UV15-A"," 146.2526","1231.0778","2346.9130"," 530.1944","1384.9995"
"UV16-A"," 135.8367"," 862.3104","1820.5828"," 411.1842","1028.7186"
"V1-A"," 142.32812","4854.59058"," 147.33545"," 229.92508","  56.95234"
"V2-A"," 364.2118","6594.5967"," 392.1243","1765.3419"," 187.5039"
"V3-A"," 472.9013","5717.8762"," 528.0650","6732.9707"," 268.9663"
"V4-A","  467.2418"," 3200.3501","  522.9897","14236.3481","  281.9515"
"V5-A","  891.2451"," 1989.8629","  805.8846","37583.2031","  383.5099"
"V6-A"," 3398.5063"," 1320.9020","  800.3869","39042.7402","  349.8906"
"V7-A","10576.7729"," 1545.9777"," 1068.3057","53597.5996","  424.0339"
"V8-A"," 6412.2529","14717.8267","  784.9185","37457.4648","  979.9825"
"V9-A"," 4036.4619","56108.5410","  531.3835","23858.7520"," 2716.0559"
"V10-A"," 3800.3064","69693.8047","  594.9357","24001.5322","11870.2383"
"V11-A"," 1398.0156","33012.0508","  410.3605"," 8262.2681","19976.5449"
"V12-A","  729.8098","13375.8213"," 3569.9545"," 3854.7830","13250.9321"
"V13-A","  610.9025","10442.9980","18858.6064"," 2837.6615","11821.9834"
"V14-A","  482.7387"," 6913.8130","13525.6689"," 1933.1819"," 9180.0054"
"V15-A"," 406.1053","4227.4131","7742.5754","1358.4150","6730.8584"
"V16-A"," 211.9564","1816.5377","3852.9854"," 576.0975","3196.4229"
"B1-A","1727.9603"," 472.0234"," 485.0185"," 587.8901"," 147.2456"
"B2-A","11803.6841","  442.6214","  469.6182","  554.4593","  155.3411"
"B3-A","31791.0898","  540.6498","  560.3932","  658.5273","  214.6584"
"B4-A","13055.8618","  738.8925","  305.5835","  372.5866"," 1326.2528"
"B5-A","9729.2339","2996.0658"," 339.6832"," 380.8456","5897.7673"
"B6-A"," 5960.7681"," 2870.6008","  244.6713","  288.1743","20978.9561"
"B7-A"," 3127.5720"," 2005.9507","  152.8191","  165.7359","54340.7949"
"B8-A"," 2222.0243"," 1302.9653","  210.2808","  140.0763","46198.2520"
"B9-A"," 2092.9392"," 1045.8303"," 1098.3724","  146.0795","49241.4121"
"B10-A"," 1235.8806","  616.8634"," 2552.8210","  108.9569","30504.1377"
"B11-A","  801.18732","  411.57971"," 1888.99933","   69.67178","19612.47266"
"B12-A","  685.7439","  301.7630"," 1150.0874","   74.3706","17056.9932"
"B13-A","  506.45784","  210.75192","  777.24994","   55.30247","12517.82764"
"B14-A","  602.38147","  234.18474","  927.87350","   71.59775","13991.46777"
"YG1-A"," 728.4496","4960.2808"," 173.3573"," 193.2470","3614.0844"
"YG2-A","  412.28871","23393.29395","   88.36777","   99.99137","13031.28711"
"YG3-A","  294.84369","23929.44727","  109.43902","   92.44199","40427.65039"
"YG4-A","   225.3277"," 15121.0571","   267.5920","   164.6935","124554.5195"
"YG5-A","   122.32074","  9115.67529","   776.15417","    92.89421","101246.96484"
"YG6-A","  123.49529"," 6222.96021"," 5119.80396","   81.73549","93211.57812"
"YG7-A","   159.5041","  6832.3105"," 29223.2451","   126.0765","112102.7891"
"YG8-A","   86.86105"," 2701.12439","12844.04395","   67.43141","51718.50781"
"YG9-A","   60.32009"," 1620.54364"," 7387.60693","   54.69088","38361.86328"
"YG10-A","   49.90587","  951.89786"," 4942.44336","   66.03951","23770.70703"
"R1-A","  59.36887"," 127.81407"," 370.45784","  69.02694","1828.64563"
"R2-A","  65.15396"," 119.96352","4182.69580","  71.98460","2459.72717"
"R3-A","   58.51100","  107.51331","37749.57227","   76.35984"," 2500.10327"
"R4-A","    53.43020","    96.55773","103404.82812","    66.68982","  1926.56720"
"R5-A","   36.55869","   79.32631","94201.42188","   53.12717"," 1511.25427"
"R6-A","   50.95368","   83.67997","46773.15820","   64.87876"," 1097.58972"
"R7-A","   65.37681","   79.76941","44290.40430","   73.56101"," 1131.22571"
"R8-A","   22.83324","   45.79163","25535.98047","   36.30670","  595.57352"
